"","year","roll_number","congress","session","chamber","bill","vote_question","vote_type","date","last_name","party","state","role","vote","majority","vote_result"
"party155",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hall (TX)","D","TX","legislator","Yea","D","Passed"
"party156",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hamburg","D","CA","legislator","Yea","D","Passed"
"party157",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hamilton","D","IN","legislator","Yea","D","Passed"
"party158",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hancock","R","MO","legislator","Nay","D","Passed"
"party159",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hansen","R","UT","legislator","Nay","D","Passed"
"party160",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Harman","D","CA","legislator","Yea","D","Passed"
"party161",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hastert","R","IL","legislator","Nay","D","Passed"
"party162",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hastings (FL)","D","FL","legislator","Yea","D","Passed"
"party163",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hayes","D","LA","legislator","Yea","D","Passed"
"party164",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hefley","R","CO","legislator","Nay","D","Passed"
"party165",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hefner","D","NC","legislator","Yea","D","Passed"
"party166",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Henry","R","MI","legislator","Not Voting","D","Passed"
"party167",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Herger","R","CA","legislator","Nay","D","Passed"
"party168",1993,136,"103","1st",1,"MOTION","On Approving the Journal","YEA-AND-NAY",1993-04-20,"Hilliard","D","AL","legislator","Yea","D","Passed"
